prb_alloc,DRB.UEThpUl,target_prb_ratio
13,1356.0,66
67,5555.0,66
90,5434.0,66
84,5759.0,66
73,5676.0,66
15,1364.0,66
15,1360.0,66
5,366.0,66
1,0.0,66
72,5484.0,66
1,0.0,66
41,3755.0,66
74,5762.0,66
92,5753.0,66
31,2734.0,66
34,2929.0,66
100,4262.0,66
41,3742.0,66
2,0.0,66
70,5699.0,66
64,5495.0,66
19,1962.0,66
44,3848.0,66
17,1517.0,66
47,4231.0,66
6,711.0,66
85,5510.0,66
56,4938.0,66
19,1958.0,66
88,5396.0,66
99,5762.0,66
12,1359.0,66
76,5716.0,66
3,0.0,66
23,2282.0,66
88,5584.0,66
98,6182.0,66
59,5219.0,66
42,3749.0,66
23,2327.0,66
74,5490.0,66
16,1659.0,66
2,0.0,66
62,5470.0,66
8,897.0,66
65,5588.0,66
15,1354.0,66
33,2934.0,66
36,3193.0,66
22,2301.0,66
17,1547.0,66
28,2626.0,66
9,938.0,66
56,4924.0,66
92,5685.0,66
47,4222.0,66
35,3184.0,66
55,4815.0,66
16,1516.0,66
52,4725.0,66
50,4464.0,66
92,5195.0,66
9,925.0,66
72,5773.0,66
37,3300.0,66
31,2736.0,66
17,1538.0,66
95,5357.0,66
20,2090.0,66
20,2067.0,66
68,5560.0,66
12,1352.0,66
37,3307.0,66
98,5502.0,66
92,5465.0,66
78,5494.0,66
4,368.0,66
89,5735.0,66
6,710.0,66
38,3271.0,66
10,1209.0,66
100,5261.0,66
44,3856.0,66
11,1206.0,66
42,3740.0,66
75,5483.0,66
86,5786.0,66
27,2639.0,66
51,4454.0,66
14,1364.0,66
52,4711.0,66
6,709.0,66
66,5584.0,66
81,5569.0,66
15,1366.0,66
86,5473.0,66
27,2680.0,66
21,2065.0,66
92,5643.0,66
74,5519.0,66
65,5577.0,66
1,0.0,66
6,711.0,66
70,5422.0,66
49,4361.0,66
73,5618.0,66
10,1202.0,66
35,3194.0,66
92,5867.0,66
4,368.0,66
78,6145.0,66
47,4237.0,66
7,711.0,66
64,5635.0,66
24,2480.0,66
75,5355.0,66
26,2477.0,66
90,5736.0,66
37,3315.0,66
32,2742.0,66
67,5592.0,66
93,5357.0,66
59,5164.0,66
15,1357.0,66
46,3999.0,66
90,5521.0,66
51,4438.0,66
85,5668.0,66
84,5645.0,66
9,923.0,66
78,5668.0,66
94,5286.0,66
33,2932.0,66
89,5151.0,66
19,1961.0,66
54,4871.0,66
87,5433.0,66
